1584433209218,18621277020,47,19
1584433212220,18621277021,99,55
1584433215220,18621277022,98,8
1584433218221,18621277023,74,6
1584433221222,18621277024,22,64
1584433224223,18621277020,65,52
1584433227224,18621277021,86,61
1584433230224,18621277022,39,73
1584433233224,18621277023,75,62
1584433236224,18621277024,1,4
1584433239224,18621277020,50,46
1584433242225,18621277021,26,23
1584433245225,18621277022,34,8
1584433248225,18621277023,59,80
1584433251226,18621277024,49,99
1584433254226,18621277020,41,63
1584433257226,18621277021,57,12
1584433260226,18621277022,41,34
1584433263227,18621277023,5,14
1584433266228,18621277024,92,13
